SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
100730, Ribeye US Choice Steak 270 gr,270,0.27,1007300027,1007300027.0,1007300027 -  Ribeye US Choice Steak 270 gr,100730,Daging Premium, Ribeye US Choice Steak 270 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s masakan nusantara untuk masakan indonesia', 'us s cocok untuk panggang', 'us s masakan nusantara', 'us s cocok untuk grill']",us s . us s cocok untuk tumis . us s masakan nusantara untuk masakan indonesia . us s cocok untuk panggang . us s masakan nusantara . us s cocok untuk grill,us s|us s cocok untuk tumis|us s masakan nusantara untuk masakan indonesia|us s cocok untuk panggang|us s masakan nusantara|us s cocok untuk grill
100731, Ribeye US Choice Steak 290 gr,290,0.29,1007310029,1007310029.0,1007310029 -  Ribeye US Choice Steak 290 gr,100731,Daging Premium, Ribeye US Choice Steak 290 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk panggang untuk masakan indonesia', 'us s menu rumahan', 'us s menu rumahan untuk masakan indonesia', 'us s ideal untuk steak']",us s . us s cocok untuk tumis . us s cocok untuk panggang untuk masakan indonesia . us s menu rumahan . us s menu rumahan untuk masakan indonesia . us s ideal untuk steak,us s|us s cocok untuk tumis|us s cocok untuk panggang untuk masakan indonesia|us s menu rumahan|us s menu rumahan untuk masakan indonesia|us s ideal untuk steak
101442, Ribeye US Choice Steak DA21 180 gr,180,0.18,1014420018,1014420018.0,1014420018 -  Ribeye US Choice Steak DA21 180 gr,101442,Daging Premium, Ribeye US Choice Steak DA21 180 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s menu rumahan', 'us s menu rumahan untuk masakan indonesia', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s menu rumahan . us s menu rumahan untuk masakan indonesia . us s cocok untuk grill . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s menu rumahan|us s menu rumahan untuk masakan indonesia|us s cocok untuk grill|us s ideal untuk steak
101425, Ribeye US Choice Steak DA21 200 gr,200,0.2,1014250020,1014250020.0,1014250020 -  Ribeye US Choice Steak DA21 200 gr,101425,Daging Premium, Ribeye US Choice Steak DA21 200 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk tumis untuk masakan indonesia', 'us s untuk masakan indonesia', 'us s masakan nusantara untuk masakan indonesia', 'us s masakan nusantara']",us s . us s cocok untuk tumis . us s cocok untuk tumis untuk masakan indonesia . us s untuk masakan indonesia . us s masakan nusantara untuk masakan indonesia . us s masakan nusantara,us s|us s cocok untuk tumis|us s cocok untuk tumis untuk masakan indonesia|us s untuk masakan indonesia|us s masakan nusantara untuk masakan indonesia|us s masakan nusantara
101426, Ribeye US Choice Steak DA21 230 gr,230,0.23,1014260023,1014260023.0,1014260023 -  Ribeye US Choice Steak DA21 230 gr,101426,Daging Premium, Ribeye US Choice Steak DA21 230 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s cocok untuk grill untuk masakan indonesia', 'us s menu rumahan', 'us s masakan nusantara', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s cocok untuk grill untuk masakan indonesia . us s menu rumahan . us s masakan nusantara . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s cocok untuk grill untuk masakan indonesia|us s menu rumahan|us s masakan nusantara|us s ideal untuk steak
101423, Ribeye US Choice Steak DA21 250 gr,250,0.25,1014230025,1014230025.0,1014230025 -  Ribeye US Choice Steak DA21 250 gr,101423,Daging Premium, Ribeye US Choice Steak DA21 250 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk panggang untuk masakan indonesia', 'us s menu rumahan', 'us s menu rumahan untuk masakan indonesia', 'us s cocok untuk panggang']",us s . us s cocok untuk tumis . us s cocok untuk panggang untuk masakan indonesia . us s menu rumahan . us s menu rumahan untuk masakan indonesia . us s cocok untuk panggang,us s|us s cocok untuk tumis|us s cocok untuk panggang untuk masakan indonesia|us s menu rumahan|us s menu rumahan untuk masakan indonesia|us s cocok untuk panggang
101424, Ribeye US Choice Steak DA21 270 gr,270,0.27,1014240027,1014240027.0,1014240027 -  Ribeye US Choice Steak DA21 270 gr,101424,Daging Premium, Ribeye US Choice Steak DA21 270 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk tumis untuk masakan indonesia', 'us s masakan nusantara', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s cocok untuk tumis . us s cocok untuk tumis untuk masakan indonesia . us s masakan nusantara . us s cocok untuk grill . us s ideal untuk steak,us s|us s cocok untuk tumis|us s cocok untuk tumis untuk masakan indonesia|us s masakan nusantara|us s cocok untuk grill|us s ideal untuk steak
101427, Ribeye US Choice Steak DA21 290 gr,290,0.29,1014270029,1014270029.0,1014270029 -  Ribeye US Choice Steak DA21 290 gr,101427,Daging Premium, Ribeye US Choice Steak DA21 290 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s cocok untuk grill untuk masakan indonesia', 'us s cocok untuk panggang', 'us s masakan nusantara', 'us s ideal untuk steak']",us s . us s cocok untuk tumis . us s cocok untuk grill untuk masakan indonesia . us s cocok untuk panggang . us s masakan nusantara . us s ideal untuk steak,us s|us s cocok untuk tumis|us s cocok untuk grill untuk masakan indonesia|us s cocok untuk panggang|us s masakan nusantara|us s ideal untuk steak
100732, Ribeye US Choice Steak End Cut 100 gr,100,0.1,1007320010,1007320010.0,1007320010 -  Ribeye US Choice Steak End Cut 100 gr,100732,Discontinue, Ribeye US Choice Steak End Cut 100 gr,us s u,"['us s u cocok untuk panggang', 'us s u untuk masakan indonesia', 'us s u cocok untuk grill', 'us s u ideal untuk steak', 'us s u cocok untuk panggang untuk masakan indonesia', 'us s u']",us s u cocok untuk panggang . us s u untuk masakan indonesia . us s u cocok untuk grill . us s u ideal untuk steak . us s u cocok untuk panggang untuk masakan indonesia . us s u,us s u cocok untuk panggang|us s u untuk masakan indonesia|us s u cocok untuk grill|us s u ideal untuk steak|us s u cocok untuk panggang untuk masakan indonesia|us s u
100752, Ribeye US Choice Steak End Cut 150 gr,150,0.15,1007520015,1007520015.0,1007520015 -  Ribeye US Choice Steak End Cut 150 gr,100752,Daging Premium, Ribeye US Choice Steak End Cut 150 gr,us s u,"['us s u untuk masakan indonesia', 'us s u cocok untuk grill', 'us s u masakan nusantara', 'us s u cocok untuk tumis', 'us s u cocok untuk tumis untuk masakan indonesia', 'us s u']",us s u untuk masakan indonesia . us s u cocok untuk grill . us s u masakan nusantara . us s u cocok untuk tumis . us s u cocok untuk tumis untuk masakan indonesia . us s u,us s u untuk masakan indonesia|us s u cocok untuk grill|us s u masakan nusantara|us s u cocok untuk tumis|us s u cocok untuk tumis untuk masakan indonesia|us s u
101449, Ribeye US Choice Steak End Cut 180 gr,180,0.18,1014490018,1014490018.0,1014490018 -  Ribeye US Choice Steak End Cut 180 gr,101449,Daging Premium, Ribeye US Choice Steak End Cut 180 gr,us s u,"['us s u cocok untuk grill', 'us s u masakan nusantara', 'us s u cocok untuk tumis', 'us s u ideal untuk steak', 'us s u menu rumahan', 'us s u']",us s u cocok untuk grill . us s u masakan nusantara . us s u cocok untuk tumis . us s u ideal untuk steak . us s u menu rumahan . us s u,us s u cocok untuk grill|us s u masakan nusantara|us s u cocok untuk tumis|us s u ideal untuk steak|us s u menu rumahan|us s u
